32	950.373	1010	708.264
32.2	900.552	959	669.682
32.4	853.343	874	632.201
32.6	808.609	874	598.861
32.8	766.22	807	565.259
33	726.053	779	534.697
33.2	687.992	816	506.6
33.4	651.926	654	480.074
33.6	617.751	639	454.283
33.8	585.367	612	429.068
34	554.681	556	404.693
34.2	525.603	551	381.627
34.4	498.05	523	361.393
34.6	471.941	488	342.573
34.8	447.201	484	324.016
35	423.758	404	305.878
35.2	401.543	417	288.317
35.4	380.494	387	272.748
35.6	360.547	452	258.385
35.8	341.647	379	245.594
36	323.737	323	232.908
36.2	306.766	372	219.855
36.4	290.685	316	206.383
36.6	275.446	258	194.588
36.8	261.007	250	184.156
