Ee (keV), d\omega/dEe
95,5.19762045108648e-32
95.1,5.19697108543711e-32
95.2,5.19632179487565e-32
95.3,5.19567257952073e-32
95.4,5.19502343949113e-32
95.5,5.19437437490577e-32
95.6,5.19372538588371e-32
95.7,5.19307647254415e-32
95.8,5.19242763500643e-32
95.9,5.19177887339003e-32
96,5.19113018781457e-32
96.1,5.19048157839981e-32
96.2,5.18983304526566e-32
96.3,5.18918458853215e-32
96.4,5.18853620831948e-32
96.5,5.18788790474797e-32
96.6,5.18723967793809e-32
96.7,5.18659152801045e-32
96.8,5.1859434550858e-32
96.9,5.18529545928505e-32
97,5.18464754072922e-32
97.1,5.18399969953949e-32
97.2,5.1833519358372e-32
97.3,5.1827042497438e-32
97.4,5.18205664138091e-32
97.5,5.18140911087027e-32
97.6,5.18076165833379e-32
97.7,5.1801142838935e-32
97.8,5.17946698767158e-32
97.9,5.17881976979038e-32
98,5.17817263037234e-32
98.1,5.1775255695401e-32
98.2,5.1768785874164e-32
98.3,5.17623168412417e-32
98.4,5.17558485978645e-32
98.5,5.17493811452643e-32
98.6,5.17429144846745e-32
98.7,5.17364486173301e-32
98.8,5.17299835444672e-32
98.9,5.17235192673238e-32
99,5.17170557871391e-32
99.1,5.17105931051537e-32
99.2,5.17041312226098e-32
99.3,5.16976701407511e-32
99.4,5.16912098608226e-32
99.5,5.16847503840709e-32
99.6,5.16782917117441e-32
99.7,5.16718338450917e-32
99.8,5.16653767853646e-32
99.9,5.16589205338153e-32
100,5.16524650916978e-32
100.1,5.16460104602675e-32
100.2,5.16395566407812e-32
100.3,5.16331036344975e-32
100.4,5.16266514426761e-32
100.5,5.16202000665784e-32
100.6,5.16137495074672e-32
100.7,5.1607299766607e-32
100.8,5.16008508452635e-32
100.9,5.15944027447041e-32
101,5.15879554661976e-32
101.1,5.15815090110143e-32
101.2,5.15750633804261e-32
101.3,5.15686185757063e-32
101.4,5.15621745981297e-32
101.5,5.15557314489727e-32
101.6,5.15492891295131e-32
101.7,5.15428476410303e-32
101.8,5.15364069848051e-32
101.9,5.152996716212e-32
102,5.15235281742588e-32
102.1,5.1517090022507e-32
102.2,5.15106527081515e-32
102.3,5.15042162324808e-32
102.4,5.14977805967848e-32
102.5,5.14913458023551e-32
102.6,5.14849118504847e-32
102.7,5.14784787424682e-32
102.8,5.14720464796016e-32
102.9,5.14656150631826e-32
103,5.14591844945103e-32
103.1,5.14527547748856e-32
103.2,5.14463259056105e-32
103.3,5.14398978879889e-32
103.4,5.14334707233261e-32
103.5,5.1427044412929e-32
103.6,5.1420618958106e-32
103.7,5.1414194360167e-32
103.8,5.14077706204236e-32
103.9,5.14013477401889e-32
104,5.13949257207773e-32
104.1,5.13885045635052e-32
104.2,5.13820842696903e-32
104.3,5.13756648406518e-32
104.4,5.13692462777106e-32
104.5,5.13628285821891e-32
104.6,5.13564117554114e-32
104.7,5.13499957987029e-32
104.8,5.13435807133909e-32
104.9,5.13371665008039e-32
105,5.13307531622722e-32
105.1,5.13243406991277e-32
105.2,5.13179291127039e-32
105.3,5.13115184043357e-32
105.4,5.13051085753597e-32
105.5,5.1298699627114e-32
105.6,5.12922915609385e-32
105.7,5.12858843781744e-32
105.8,5.12794780801647e-32
105.9,5.1273072668254e-32
106,5.12666681437882e-32
106.1,5.12602645081152e-32
106.2,5.12538617625842e-32
106.3,5.12474599085462e-32
106.4,5.12410589473536e-32
106.5,5.12346588803606e-32
106.6,5.12282597089229e-32
106.7,5.12218614343978e-32
106.8,5.12154640581443e-32
106.9,5.12090675815228e-32
107,5.12026720058956e-32
107.1,5.11962773326264e-32
107.2,5.11898835630806e-32
107.3,5.11834906986253e-32
107.4,5.1177098740629e-32
107.5,5.11707076904621e-32
107.6,5.11643175494964e-32
107.7,5.11579283191054e-32
107.8,5.11515400006643e-32
107.9,5.11451525955498e-32
108,5.11387661051403e-32
108.1,5.1132380530816e-32
108.2,5.11259958739584e-32
108.3,5.1119612135951e-32
108.4,5.11132293181786e-32
108.5,5.11068474220279e-32
108.6,5.11004664488871e-32
108.7,5.10940864001461e-32
108.8,5.10877072771966e-32
108.9,5.10813290814316e-32
109,5.10749518142461e-32
109.1,5.10685754770366e-32
109.2,5.10622000712013e-32
109.3,5.10558255981399e-32
109.4,5.10494520592541e-32
109.5,5.10430794559469e-32
109.6,5.10367077896232e-32
109.7,5.10303370616895e-32
109.8,5.1023967273554e-32
109.9,5.10175984266265e-32
110,5.10112305223186e-32
110.1,5.10048635620435e-32
110.2,5.0998497547216e-32
110.3,5.09921324792527e-32
110.4,5.09857683595718e-32
110.5,5.09794051895933e-32
110.6,5.09730429707389e-32
110.7,5.09666817044318e-32
110.8,5.0960321392097e-32
110.9,5.09539620351612e-32
111,5.09476036350529e-32
111.1,5.09412461932021e-32
111.2,5.09348897110407e-32
111.3,5.09285341900021e-32
111.4,5.09221796315215e-32
111.5,5.09158260370358e-32
111.6,5.09094734079838e-32
111.7,5.09031217458057e-32
111.8,5.08967710519435e-32
111.9,5.08904213278411e-32
112,5.08840725749439e-32
112.1,5.08777247946991e-32
112.2,5.08713779885557e-32
112.3,5.08650321579643e-32
112.4,5.08586873043773e-32
112.5,5.08523434292488e-32
112.6,5.08460005340347e-32
112.7,5.08396586201925e-32
112.8,5.08333176891815e-32
112.9,5.08269777424628e-32
113,5.08206387814992e-32
113.1,5.08143008077553e-32
113.2,5.08079638226972e-32
113.3,5.0801627827793e-32
113.4,5.07952928245126e-32
113.5,5.07889588143274e-32
113.6,5.07826257987106e-32
113.7,5.07762937791374e-32
113.8,5.07699627570846e-32
113.9,5.07636327340306e-32
114,5.07573037114559e-32
114.1,5.07509756908424e-32
114.2,5.07446486736741e-32
114.3,5.07383226614365e-32
114.4,5.07319976556171e-32
114.5,5.0725673657705e-32
114.6,5.07193506691911e-32
114.7,5.07130286915682e-32
114.8,5.07067077263308e-32
114.9,5.07003877749751e-32
115,5.06940688389992e-32
115.1,5.06877509199029e-32
115.2,5.0681434019188e-32
115.3,5.06751181383579e-32
115.4,5.06688032789177e-32
115.5,5.06624894423744e-32
115.6,5.0656176630237e-32
115.7,5.06498648440161e-32
115.8,5.0643554085224e-32
115.9,5.0637244355375e-32
116,5.06309356559852e-32
116.1,5.06246279885724e-32
116.2,5.06183213546562e-32
116.3,5.06120157557582e-32
116.4,5.06057111934016e-32
116.5,5.05994076691116e-32
116.6,5.0593105184415e-32
116.7,5.05868037408407e-32
116.8,5.05805033399193e-32
116.9,5.05742039831831e-32
117,5.05679056721664e-32
117.1,5.05616084084053e-32
117.2,5.05553121934376e-32
117.3,5.05490170288033e-32
117.4,5.05427229160437e-32
117.5,5.05364298567025e-32
117.6,5.05301378523248e-32
117.7,5.05238469044578e-32
117.8,5.05175570146505e-32
117.9,5.05112681844537e-32
118,5.05049804154201e-32
118.1,5.04986937091042e-32
118.2,5.04924080670624e-32
118.3,5.0486123490853e-32
118.4,5.04798399820362e-32
118.5,5.04735575421738e-32
118.6,5.04672761728299e-32
118.7,5.046099587557e-32
118.8,5.04547166519619e-32
118.9,5.04484385035749e-32
119,5.04421614319805e-32
119.1,5.04358854387519e-32
119.2,5.04296105254642e-32
119.3,5.04233366936945e-32
119.4,5.04170639450216e-32
119.5,5.04107922810263e-32
119.6,5.04045217032913e-32
119.7,5.03982522134011e-32
119.8,5.03919838129423e-32
119.9,5.03857165035032e-32
120,5.03794502866741e-32
120.1,5.03731851640472e-32
120.2,5.03669211372165e-32
120.3,5.03606582077781e-32
120.4,5.03543963773298e-32
120.5,5.03481356474716e-32
120.6,5.0341876019805e-32
120.7,5.03356174959338e-32
120.8,5.03293600774636e-32
120.9,5.03231037660019e-32
121,5.0316848563158e-32
121.1,5.03105944705434e-32
121.2,5.03043414897714e-32
121.3,5.02980896224572e-32
121.4,5.02918388702179e-32
121.5,5.02855892346726e-32
121.6,5.02793407174425e-32
121.7,5.02730933201504e-32
121.8,5.02668470444214e-32
121.9,5.02606018918823e-32
122,5.02543578641619e-32
122.1,5.0248114962891e-32
122.2,5.02418731897025e-32
122.3,5.02356325462309e-32
122.4,5.0229393034113e-32
122.5,5.02231546549874e-32
122.6,5.02169174104946e-32
122.7,5.02106813022774e-32
122.8,5.02044463319801e-32
122.9,5.01982125012493e-32
123,5.01919798117336e-32
123.1,5.01857482650833e-32
123.2,5.01795178629509e-32
123.3,5.0173288606991e-32
123.4,5.01670604988597e-32
123.5,5.01608335402158e-32
123.6,5.01546077327194e-32
123.7,5.0148383078033e-32
123.8,5.0142159577821e-32
123.9,5.01359372337498e-32
124,5.01297160474879e-32
124.1,5.01234960207055e-32
124.2,5.01172771550751e-32
124.3,5.01110594522712e-32
124.4,5.01048429139702e-32
124.5,5.00986275418505e-32
124.6,5.00924133375926e-32
124.7,5.0086200302879e-32
124.8,5.00799884393941e-32
124.9,5.00737777488246e-32
125,5.0067568232859e-32
125.1,5.00613598931879e-32
125.2,5.00551527315039e-32
125.3,5.00489467495016e-32
125.4,5.00427419488779e-32
125.5,5.00365383313314e-32
125.6,5.00303358985629e-32
125.7,5.00241346522753e-32
125.8,5.00179345941734e-32
125.9,5.00117357259643e-32
126,5.00055380493568e-32
126.1,4.9999341566062e-32
126.2,4.9993146277793e-32
126.3,4.99869521862651e-32
126.4,4.99807592931954e-32
126.5,4.99745676003032e-32
126.6,4.996837710931e-32
126.7,4.99621878219391e-32
126.8,4.99559997399161e-32
126.9,4.99498128649686e-32
127,4.99436271988263e-32
127.1,4.9937442743221e-32
127.2,4.99312594998864e-32
127.3,4.99250774705586e-32
127.4,4.99188966569755e-32
127.5,4.99127170608773e-32
127.6,4.99065386840063e-32
127.7,4.99003615281068e-32
127.8,4.98941855949251e-32
127.9,4.98880108862098e-32
128,4.98818374037116e-32
128.1,4.98756651491833e-32
128.2,4.98694941243796e-32
128.3,4.98633243310576e-32
128.4,4.98571557709764e-32
128.5,4.98509884458971e-32
128.6,4.98448223575833e-32
128.7,4.98386575078002e-32
128.8,4.98324938983156e-32
128.9,4.98263315308992e-32
129,4.98201704073228e-32
129.1,4.98140105293605e-32
129.2,4.98078518987884e-32
129.3,4.98016945173849e-32
129.4,4.97955383869303e-32
129.5,4.97893835092072e-32
129.6,4.97832298860005e-32
129.7,4.9777077519097e-32
129.8,4.97709264102858e-32
129.9,4.97647765613581e-32
130,4.97586279741072e-32
130.1,4.97524806503288e-32
130.2,4.97463345918205e-32
130.3,4.97401898003823e-32
130.4,4.97340462778163e-32
130.5,4.97279040259265e-32
130.6,4.97217630465196e-32
130.7,4.9715623341404e-32
130.8,4.97094849123906e-32
130.9,4.97033477612924e-32
131,4.96972118899246e-32
131.1,4.96910773001044e-32
131.2,4.96849439936516e-32
131.3,4.96788119723877e-32
131.4,4.96726812381369e-32
131.5,4.96665517927253e-32
131.6,4.96604236379813e-32
131.7,4.96542967757354e-32
131.8,4.96481712078205e-32
131.9,4.96420469360716e-32
132,4.9635923962326e-32
132.1,4.96298022884231e-32
132.2,4.96236819162047e-32
132.3,4.96175628475146e-32
132.4,4.9611445084199e-32
132.5,4.96053286281064e-32
132.6,4.95992134810872e-32
132.7,4.95930996449945e-32
132.8,4.95869871216833e-32
132.9,4.9580875913011e-32
133,4.95747660208372e-32
133.1,4.95686574470238e-32
133.2,4.95625501934348e-32
133.3,4.95564442619367e-32
133.4,4.95503396543982e-32
133.5,4.954423637269e-32
133.6,4.95381344186853e-32
133.7,4.95320337942597e-32
133.8,4.95259345012908e-32
133.9,4.95198365416587e-32
134,4.95137399172455e-32
134.1,4.95076446299358e-32
134.2,4.95015506816165e-32
134.3,4.94954580741766e-32
134.4,4.94893668095077e-32
134.5,4.94832768895033e-32
134.6,4.94771883160596e-32
134.7,4.94711010910747e-32
134.8,4.94650152164494e-32
134.9,4.94589306940865e-32
135,4.94528475258912e-32
135.1,4.9446765713771e-32
135.2,4.94406852596359e-32
135.3,4.9434606165398e-32
135.4,4.94285284329717e-32
135.5,4.9422452064274e-32
135.6,4.94163770612238e-32
135.7,4.94103034257427e-32
135.8,4.94042311597544e-32
135.9,4.93981602651852e-32
136,4.93920907439634e-32
136.1,4.938602259802e-32
136.2,4.9379955829288e-32
136.3,4.93738904397029e-32
136.4,4.93678264312027e-32
136.5,4.93617638057275e-32
136.6,4.935570256522e-32
136.7,4.9349642711625e-32
136.8,4.93435842468898e-32
136.9,4.93375271729641e-32
137,4.93314714918e-32
137.1,4.93254172053518e-32
137.2,4.93193643155764e-32
137.3,4.93133128244328e-32
137.4,4.93072627338827e-32
137.5,4.93012140458899e-32
137.6,4.92951667624209e-32
137.7,4.92891208854442e-32
137.8,4.9283076416931e-32
137.9,4.92770333588548e-32
138,4.92709917131915e-32
138.1,4.92649514819195e-32
138.2,4.92589126670193e-32
138.3,4.92528752704743e-32
138.4,4.92468392942698e-32
138.5,4.92408047403938e-32
138.6,4.92347716108368e-32
138.7,4.92287399075915e-32
138.8,4.92227096326532e-32
138.9,4.92166807880195e-32
139,4.92106533756905e-32
139.1,4.92046273976687e-32
139.2,4.91986028559591e-32
139.3,4.91925797525691e-32
139.4,4.91865580895085e-32
139.5,4.91805378687897e-32
139.6,4.91745190924274e-32
139.7,4.91685017624388e-32
139.8,4.91624858808435e-32
139.9,4.91564714496638e-32
140,4.91504584709242e-32
140.1,4.91444469466517e-32
140.2,4.9138436878876e-32
140.3,4.91324282696289e-32
140.4,4.9126421120945e-32
140.5,4.91204154348613e-32
140.6,4.91144112134172e-32
140.7,4.91084084586546e-32
140.8,4.9102407172618e-32
140.9,4.90964073573544e-32
141,4.9090409014913e-32
141.1,4.90844121473459e-32
141.2,4.90784167567075e-32
141.3,4.90724228450547e-32
141.4,4.90664304144469e-32
141.5,4.90604394669462e-32
141.6,4.90544500046169e-32
141.7,4.90484620295262e-32
141.8,4.90424755437435e-32
141.9,4.90364905493408e-32
142,4.90305070483928e-32
142.1,4.90245250429765e-32
142.2,4.90185445351717e-32
142.3,4.90125655270604e-32
142.4,4.90065880207276e-32
142.5,4.90006120182603e-32
142.6,4.89946375217485e-32
142.7,4.89886645332845e-32
142.8,4.89826930549634e-32
142.9,4.89767230888826e-32
143,4.89707546371421e-32
143.1,4.89647877018447e-32
143.2,4.89588222850954e-32
143.3,4.89528583890022e-32
143.4,4.89468960156754e-32
143.5,4.89409351672279e-32
143.6,4.89349758457753e-32
143.7,4.89290180534356e-32
143.8,4.89230617923296e-32
143.9,4.89171070645807e-32
144,4.89111538723145e-32
144.1,4.89052022176598e-32
144.2,4.88992521027476e-32
144.3,4.88933035297116e-32
144.4,4.88873565006882e-32
144.5,4.88814110178163e-32
144.6,4.88754670832374e-32
144.7,4.88695246990958e-32
144.8,4.88635838675382e-32
144.9,4.88576445907142e-32
145,4.88517068707758e-32
145.1,4.88457707098776e-32
145.2,4.88398361101771e-32
145.3,4.88339030738343e-32
145.4,4.88279716030118e-32
145.5,4.88220416998748e-32
145.6,4.88161133665915e-32
145.7,4.88101866053322e-32
145.8,4.88042614182704e-32
145.9,4.87983378075819e-32
146,4.87924157754454e-32
146.1,4.87864953240421e-32
146.2,4.8780576455556e-32
146.3,4.87746591721737e-32
146.4,4.87687434760845e-32
146.5,4.87628293694803e-32
146.6,4.8756916854556e-32
146.7,4.87510059335088e-32
146.8,4.87450966085389e-32
146.9,4.8739188881849e-32
147,4.87332827556445e-32
147.1,4.87273782321337e-32
147.2,4.87214753135275e-32
147.3,4.87155740020395e-32
147.4,4.8709674299886e-32
147.5,4.87037762092861e-32
147.6,4.86978797324614e-32
147.7,4.86919848716367e-32
147.8,4.8686091629039e-32
147.9,4.86802000068983e-32
148,4.86743100074475e-32
148.1,4.86684216329218e-32
148.2,4.86625348855596e-32
148.3,4.86566497676018e-32
148.4,4.86507662812921e-32
148.5,4.8644884428877e-32
148.6,4.86390042126056e-32
148.7,4.86331256347301e-32
148.8,4.86272486975051e-32
148.9,4.86213734031882e-32
149,4.86154997540398e-32
149.1,4.86096277523229e-32
149.2,4.86037574003033e-32
149.3,4.85978887002499e-32
149.4,4.8592021654434e-32
149.5,4.85861562651298e-32
149.6,4.85802925346145e-32
149.7,4.85744304651679e-32
149.8,4.85685700590726e-32
149.9,4.85627113186142e-32
150,4.85568542460809e-32
150.1,4.85509988437638e-32
150.2,4.85451451139569e-32
150.3,4.85392930589569e-32
150.4,4.85334426810634e-32
150.5,4.85275939825787e-32
150.6,4.85217469658083e-32
150.7,4.851590163306e-32
150.8,4.8510057986645e-32
150.9,4.85042160288769e-32
151,4.84983757620724e-32
151.1,4.8492537188551e-32
151.2,4.84867003106351e-32
151.3,4.84808651306498e-32
151.4,4.84750316509232e-32
151.5,4.84691998737863e-32
151.6,4.84633698015729e-32
151.7,4.84575414366198e-32
151.8,4.84517147812664e-32
151.9,4.84458898378554e-32
152,4.84400666087319e-32
152.1,4.84342450962444e-32
152.2,4.8428425302744e-32
152.3,4.84226072305846e-32
152.4,4.84167908821233e-32
152.5,4.841097625972e-32
152.6,4.84051633657374e-32
152.7,4.83993522025413e-32
152.8,4.83935427725003e-32
152.9,4.83877350779858e-32
153,4.83819291213725e-32
153.1,4.83761249050377e-32
153.2,4.83703224313617e-32
153.3,4.83645217027279e-32
153.4,4.83587227215225e-32
153.5,4.83529254901346e-32
153.6,4.83471300109565e-32
153.7,4.83413362863832e-32
153.8,4.83355443188127e-32
153.9,4.83297541106462e-32
154,4.83239656642875e-32
154.1,4.83181789821436e-32
154.2,4.83123940666246e-32
154.3,4.83066109201432e-32
154.4,4.83008295451154e-32
154.5,4.829504994396e-32
154.6,4.82892721190991e-32
154.7,4.82834960729574e-32
154.8,4.82777218079629e-32
154.9,4.82719493265464e-32
155,4.82661786311418e-32
155.1,4.8260409724186e-32
155.2,4.8254642608119e-32
155.3,4.82488772853837e-32
155.4,4.82431137584261e-32
155.5,4.82373520296952e-32
155.6,4.8231592101643e-32
155.7,4.82258339767246e-32
155.8,4.8220077657398e-32
155.9,4.82143231461246e-32
156,4.82085704453684e-32
156.1,4.82028195575967e-32
156.2,4.81970704852799e-32
156.3,4.81913232308914e-32
156.4,4.81855777969075e-32
156.5,4.81798341858078e-32
156.6,4.81740924000749e-32
156.7,4.81683524421945e-32
156.8,4.81626143146553e-32
156.9,4.81568780199492e-32
157,4.81511435605711e-32
157.1,4.8145410939019e-32
157.2,4.8139680157794e-32
157.3,4.81339512194005e-32
157.4,4.81282241263457e-32
157.5,4.812249888114e-32
157.6,4.81167754862971e-32
157.7,4.81110539443336e-32
157.8,4.81053342577693e-32
157.9,4.80996164291273e-32
158,4.80939004609335e-32
158.1,4.80881863557171e-32
158.2,4.80824741160106e-32
158.3,4.80767637443493e-32
158.4,4.80710552432721e-32
158.5,4.80653486153206e-32
158.6,4.80596438630398e-32
158.7,4.80539409889778e-32
158.8,4.8048239995686e-32
158.9,4.80425408857189e-32
159,4.80368436616339e-32
159.1,4.8031148325992e-32
159.2,4.80254548813571e-32
159.3,4.80197633302965e-32
159.4,4.80140736753806e-32
159.5,4.80083859191828e-32
159.6,4.800270006428e-32
159.7,4.79970161132522e-32
159.8,4.79913340686826e-32
159.9,4.79856539331576e-32
160,4.79799757092668e-32
160.1,4.79742993996031e-32
160.2,4.79686250067626e-32
160.3,4.79629525333445e-32
160.4,4.79572819819514e-32
160.5,4.79516133551892e-32
160.6,4.79459466556669e-32
160.7,4.79402818859966e-32
160.8,4.79346190487941e-32
160.9,4.79289581466781e-32
161,4.79232991822706e-32
161.1,4.79176421581969e-32
161.2,4.79119870770858e-32
161.3,4.7906333941569e-32
161.4,4.79006827542818e-32
161.5,4.78950335178625e-32
161.6,4.78893862349529e-32
161.7,4.7883740908198e-32
161.8,4.78780975402462e-32
161.9,4.7872456133749e-32
162,4.78668166913615e-32
162.1,4.78611792157418e-32
162.2,4.78555437095515e-32
162.3,4.78499101754556e-32
162.4,4.78442786161222e-32
162.5,4.78386490342229e-32
162.6,4.78330214324325e-32
162.7,4.78273958134293e-32
162.8,4.78217721798948e-32
162.9,4.78161505345139e-32
163,4.78105308799749e-32
163.1,4.78049132189694e-32
163.2,4.77992975541924e-32
163.3,4.77936838883423e-32
163.4,4.77880722241207e-32
163.5,4.77824625642327e-32
163.6,4.77768549113869e-32
163.7,4.7771249268295e-32
163.8,4.77656456376724e-32
163.9,4.77600440222376e-32
164,4.77544444247128e-32
164.1,4.77488468478233e-32
164.2,4.7743251294298e-32
164.3,4.77376577668692e-32
164.4,4.77320662682726e-32
164.5,4.77264768012472e-32
164.6,4.77208893685356e-32
164.7,4.77153039728837e-32
164.8,4.77097206170411e-32
164.9,4.77041393037604e-32
165,4.7698560035798e-32
165.1,4.76929828159137e-32
165.2,4.76874076468705e-32
165.3,4.76818345314353e-32
165.4,4.7676263472378e-32
165.5,4.76706944724722e-32
165.6,4.76651275344951e-32
165.7,4.76595626612272e-32
165.8,4.76539998554524e-32
165.9,4.76484391199584e-32
166,4.7642880457536e-32
166.1,4.76373238709798e-32
166.2,4.76317693630879e-32
166.3,4.76262169366616e-32
166.4,4.7620666594506e-32
166.5,4.76151183394298e-32
166.6,4.76095721742448e-32
166.7,4.76040281017668e-32
166.8,4.75984861248147e-32
166.9,4.75929462462114e-32
167,4.7587408468783e-32
167.1,4.75818727953592e-32
167.2,4.75763392287733e-32
167.3,4.75708077718622e-32
167.4,4.75652784274663e-32
167.5,4.75597511984295e-32
167.6,4.75542260875993e-32
167.7,4.75487030978271e-32
167.8,4.75431822319673e-32
167.9,4.75376634928783e-32
168,4.7532146883422e-32
168.1,4.75266324064639e-32
168.2,4.7521120064873e-32
168.3,4.7515609861522e-32
168.4,4.75101017992871e-32
168.5,4.75045958810483e-32
168.6,4.74990921096892e-32
168.7,4.74935904880967e-32
168.8,4.74880910191618e-32
168.9,4.74825937057788e-32
169,4.74770985508458e-32
169.1,4.74716055572645e-32
169.2,4.74661147279401e-32
169.3,4.74606260657818e-32
169.4,4.74551395737021e-32
169.5,4.74496552546174e-32
169.6,4.74441731114477e-32
169.7,4.74386931471167e-32
169.8,4.74332153645516e-32
169.9,4.74277397666836e-32
170,4.74222663564473e-32
170.1,4.74167951367811e-32
170.2,4.74113261106273e-32
170.3,4.74058592809315e-32
170.4,4.74003946506434e-32
170.5,4.73949322227161e-32
170.6,4.73894720001068e-32
170.7,4.73840139857759e-32
170.8,4.73785581826881e-32
170.9,4.73731045938113e-32
171,4.73676532221177e-32
171.1,4.73622040705827e-32
171.2,4.73567571421858e-32
171.3,4.73513124399101e-32
171.4,4.73458699667427e-32
171.5,4.7340429725674e-32
171.6,4.73349917196988e-32
171.7,4.7329555951815e-32
171.8,4.73241224250249e-32
171.9,4.73186911423341e-32
172,4.73132621067524e-32
172.1,4.7307835321293e-32
172.2,4.73024107889733e-32
172.3,4.72969885128141e-32
172.4,4.72915684958404e-32
172.5,4.72861507410808e-32
172.6,4.72807352515677e-32
172.7,4.72753220303375e-32
172.8,4.72699110804303e-32
172.9,4.72645024048901e-32
173,4.72590960067647e-32
173.1,4.72536918891058e-32
173.2,4.72482900549689e-32
173.3,4.72428905074134e-32
173.4,4.72374932495025e-32
173.5,4.72320982843035e-32
173.6,4.72267056148874e-32
173.7,4.72213152443289e-32
173.8,4.7215927175707e-32
173.9,4.72105414121042e-32
174,4.72051579566073e-32
174.1,4.71997768123065e-32
174.2,4.71943979822965e-32
174.3,4.71890214696754e-32
174.4,4.71836472775455e-32
174.5,4.7178275409013e-32
174.6,4.71729058671879e-32
174.7,4.71675386551843e-32
174.8,4.71621737761202e-32
174.9,4.71568112331175e-32
175,4.71514510293021e-32
175.1,4.71460931678037e-32
175.2,4.71407376517562e-32
175.3,4.71353844842975e-32
175.4,4.71300336685691e-32
175.5,4.71246852077169e-32
175.6,4.71193391048906e-32
175.7,4.71139953632439e-32
175.8,4.71086539859344e-32
175.9,4.7103314976124e-32
176,4.70979783369783e-32
176.1,4.70926440716671e-32
176.2,4.70873121833642e-32
176.3,4.70819826752472e-32
176.4,4.70766555504981e-32
176.5,4.70713308123027e-32
176.6,4.70660084638508e-32
176.7,4.70606885083365e-32
176.8,4.70553709489578e-32
176.9,4.70500557889166e-32
177,4.70447430314192e-32
177.1,4.70394326796757e-32
177.2,4.70341247369004e-32
177.3,4.70288192063117e-32
177.4,4.7023516091132e-32
177.5,4.70182153945878e-32
177.6,4.70129171199099e-32
177.7,4.70076212703328e-32
177.8,4.70023278490956e-32
177.9,4.69970368594412e-32
178,4.69917483046166e-32
178.1,4.69864621878731e-32
178.2,4.69811785124661e-32
178.3,4.6975897281655e-32
178.4,4.69706184987036e-32
178.5,4.69653421668795e-32
178.6,4.69600682894549e-32
178.7,4.69547968697057e-32
178.8,4.69495279109123e-32
178.9,4.69442614163591e-32
179,4.69389973893349e-32
179.1,4.69337358331323e-32
179.2,4.69284767510485e-32
179.3,4.69232201463846e-32
179.4,4.69179660224462e-32
179.5,4.69127143825428e-32
179.6,4.69074652299882e-32
179.7,4.69022185681006e-32
179.8,4.68969744002023e-32
179.9,4.68917327296197e-32
180,4.68864935596838e-32
180.1,4.68812568937294e-32
180.2,4.68760227350959e-32
180.3,4.68707910871268e-32
180.4,4.68655619531699e-32
180.5,4.68603353365772e-32
180.6,4.68551112407052e-32
180.7,4.68498896689144e-32
180.8,4.68446706245697e-32
180.9,4.68394541110403e-32
181,4.68342401316998e-32
181.1,4.68290286899259e-32
181.2,4.68238197891007e-32
181.3,4.68186134326108e-32
181.4,4.68134096238468e-32
181.5,4.68082083662039e-32
181.6,4.68030096630814e-32
181.7,4.67978135178832e-32
181.8,4.67926199340174e-32
181.9,4.67874289148963e-32
182,4.6782240463937e-32
182.1,4.67770545845604e-32
182.2,4.67718712801924e-32
182.3,4.67666905542627e-32
182.4,4.67615124102056e-32
182.5,4.67563368514601e-32
182.6,4.67511638814691e-32
182.7,4.67459935036801e-32
182.8,4.67408257215452e-32
182.9,4.67356605385207e-32
183,4.67304979580673e-32
183.1,4.67253379836502e-32
183.2,4.67201806187391e-32
183.3,4.6715025866808e-32
183.4,4.67098737313356e-32
183.5,4.67047242158047e-32
183.6,4.66995773237027e-32
183.7,4.66944330585217e-32
183.8,4.66892914237579e-32
183.9,4.66841524229122e-32
184,4.667901605949e-32
184.1,4.66738823370011e-32
184.2,4.66687512589598e-32
184.3,4.66636228288849e-32
184.4,4.66584970502998e-32
184.5,4.66533739267323e-32
184.6,4.66482534617148e-32
184.7,4.66431356587843e-32
184.8,4.66380205214821e-32
184.9,4.66329080533543e-32
185,4.66277982579514e-32
185.1,4.66226911388284e-32
185.2,4.66175866995451e-32
185.3,4.66124849436656e-32
185.4,4.66073858747588e-32
185.5,4.66022894963979e-32
185.6,4.65971958121611e-32
185.7,4.65921048256308e-32
185.8,4.65870165403941e-32
185.9,4.65819309600429e-32
186,4.65768480881735e-32
186.1,4.65717679283869e-32
186.2,4.65666904842888e-32
186.3,4.65616157594894e-32
186.4,4.65565437576035e-32
186.5,4.65514744822508e-32
186.6,4.65464079370553e-32
186.7,4.65413441256461e-32
186.8,4.65362830516565e-32
186.9,4.65312247187247e-32
187,4.65261691304937e-32
187.1,4.6521116290611e-32
187.2,4.65160662027289e-32
187.3,4.65110188705042e-32
187.4,4.65059742975986e-32
187.5,4.65009324876786e-32
187.6,4.64958934444151e-32
187.7,4.6490857171484e-32
187.8,4.64858236725658e-32
187.9,4.64807929513458e-32
188,4.6475765011514e-32
188.1,4.64707398567653e-32
188.2,4.6465717490799e-32
188.3,4.64606979173196e-32
188.4,4.64556811400361e-32
188.5,4.64506671626624e-32
188.6,4.64456559889171e-32
188.7,4.64406476225237e-32
188.8,4.64356420672103e-32
188.9,4.643063932671e-32
189,4.64256394047607e-32
189.1,4.64206423051051e-32
189.2,4.64156480314906e-32
189.3,4.64106565876696e-32
189.4,4.64056679773993e-32
