Ee (keV), d\omega/dEe
11.2,5.75889301827512e-32
11.3,5.75821158874682e-32
11.4,5.7575301708471e-32
11.5,5.75684876462083e-32
11.6,5.75616737011295e-32
11.7,5.75548598736845e-32
11.8,5.75480461643237e-32
11.9,5.75412325734979e-32
12,5.75344191016587e-32
12.1,5.75276057492579e-32
12.2,5.75207925167481e-32
12.3,5.75139794045823e-32
12.4,5.7507166413214e-32
12.5,5.75003535430972e-32
12.6,5.74935407946865e-32
12.7,5.74867281684371e-32
12.8,5.74799156648045e-32
12.9,5.7473103284245e-32
13,5.74662910272152e-32
13.1,5.74594788941724e-32
13.2,5.74526668855742e-32
13.3,5.74458550018791e-32
13.4,5.74390432435457e-32
13.5,5.74322316110334e-32
13.6,5.74254201048021e-32
13.7,5.74186087253123e-32
13.8,5.74117974730247e-32
13.9,5.7404986348401e-32
14,5.73981753519031e-32
14.1,5.73913644839935e-32
14.2,5.73845537451354e-32
14.3,5.73777431357922e-32
14.4,5.73709326564283e-32
14.5,5.73641223075083e-32
14.6,5.73573120894973e-32
14.7,5.73505020028612e-32
14.8,5.73436920480663e-32
14.9,5.73368822255793e-32
15,5.73300725358678e-32
15.1,5.73232629793995e-32
15.2,5.7316453556643e-32
15.3,5.73096442680672e-32
15.4,5.73028351141418e-32
15.5,5.72960260953368e-32
15.6,5.72892172121228e-32
15.7,5.7282408464971e-32
15.8,5.72755998543531e-32
15.9,5.72687913807415e-32
16,5.72619830446089e-32
16.1,5.72551748464287e-32
16.2,5.72483667866748e-32
16.3,5.72415588658217e-32
16.4,5.72347510843443e-32
16.5,5.72279434427183e-32
16.6,5.72211359414197e-32
16.7,5.72143285809252e-32
16.8,5.7207521361712e-32
16.9,5.72007142842579e-32
17,5.71939073490412e-32
17.1,5.71871005565407e-32
17.2,5.71802939072359e-32
17.3,5.71734874016068e-32
17.4,5.71666810401338e-32
17.5,5.71598748232982e-32
17.6,5.71530687515814e-32
17.7,5.71462628254658e-32
17.8,5.7139457045434e-32
17.9,5.71326514119695e-32
18,5.7125845925556e-32
18.1,5.7119040586678e-32
18.2,5.71122353958205e-32
18.3,5.71054303534691e-32
18.4,5.70986254601099e-32
18.5,5.70918207162295e-32
18.6,5.70850161223153e-32
18.7,5.7078211678855e-32
18.8,5.70714073863369e-32
18.9,5.70646032452501e-32
19,5.7057799256084e-32
19.1,5.70509954193287e-32
19.2,5.70441917354748e-32
19.3,5.70373882050135e-32
19.4,5.70305848284366e-32
19.5,5.70237816062365e-32
19.6,5.7016978538906e-32
19.7,5.70101756269386e-32
19.8,5.70033728708284e-32
19.9,5.69965702710699e-32
20,5.69897678281585e-32
20.1,5.69829655425898e-32
20.2,5.69761634148601e-32
20.3,5.69693614454665e-32
20.4,5.69625596349063e-32
20.5,5.69557579836776e-32
20.6,5.69489564922791e-32
20.7,5.69421551612099e-32
20.8,5.693535399097e-32
20.9,5.69285529820595e-32
21,5.69217521349796e-32
21.1,5.69149514502316e-32
21.2,5.69081509283177e-32
21.3,5.69013505697406e-32
21.4,5.68945503750036e-32
21.5,5.68877503446105e-32
21.6,5.68809504790657e-32
21.7,5.68741507788742e-32
21.8,5.68673512445417e-32
21.9,5.68605518765743e-32
22,5.68537526754787e-32
22.1,5.68469536417624e-32
22.2,5.68401547759333e-32
22.3,5.68333560784998e-32
22.4,5.68265575499712e-32
22.5,5.68197591908571e-32
22.6,5.68129610016677e-32
22.7,5.6806162982914e-32
22.8,5.67993651351075e-32
22.9,5.67925674587602e-32
23,5.67857699543847e-32
23.1,5.67789726224944e-32
23.2,5.6772175463603e-32
23.3,5.67653784782249e-32
23.4,5.67585816668752e-32
23.5,5.67517850300696e-32
23.6,5.67449885683242e-32
23.7,5.67381922821558e-32
23.8,5.67313961720819e-32
23.9,5.67246002386205e-32
24,5.67178044822901e-32
24.1,5.671100890361e-32
24.2,5.67042135031e-32
24.3,5.66974182812805e-32
24.4,5.66906232386725e-32
24.5,5.66838283757976e-32
24.6,5.66770336931781e-32
24.7,5.66702391913366e-32
24.8,5.66634448707967e-32
24.9,5.66566507320824e-32
25,5.66498567757184e-32
25.1,5.66430630022298e-32
25.2,5.66362694121424e-32
25.3,5.66294760059828e-32
25.4,5.6622682784278e-32
25.5,5.66158897475557e-32
25.6,5.66090968963441e-32
25.7,5.66023042311722e-32
25.8,5.65955117525694e-32
25.9,5.65887194610658e-32
26,5.65819273571922e-32
26.1,5.65751354414799e-32
26.2,5.65683437144608e-32
26.3,5.65615521766676e-32
26.4,5.65547608286333e-32
26.5,5.65479696708919e-32
26.6,5.65411787039776e-32
26.7,5.65343879284256e-32
26.8,5.65275973447714e-32
26.9,5.65208069535514e-32
27,5.65140167553024e-32
27.1,5.6507226750562e-32
27.2,5.65004369398681e-32
27.3,5.64936473237597e-32
27.4,5.64868579027761e-32
27.5,5.64800686774573e-32
27.6,5.64732796483438e-32
27.7,5.64664908159769e-32
27.8,5.64597021808986e-32
27.9,5.64529137436512e-32
28,5.6446125504778e-32
28.1,5.64393374648225e-32
28.2,5.64325496243293e-32
28.3,5.64257619838434e-32
28.4,5.64189745439103e-32
28.5,5.64121873050763e-32
28.6,5.64054002678883e-32
28.7,5.63986134328938e-32
28.8,5.63918268006411e-32
28.9,5.63850403716788e-32
29,5.63782541465565e-32
29.1,5.63714681258241e-32
29.2,5.63646823100324e-32
29.3,5.63578966997327e-32
29.4,5.63511112954769e-32
29.5,5.63443260978177e-32
29.6,5.63375411073083e-32
29.7,5.63307563245026e-32
29.8,5.63239717499551e-32
29.9,5.6317187384221e-32
30,5.6310403227856e-32
30.1,5.63036192814167e-32
30.2,5.629683554546e-32
30.3,5.62900520205439e-32
30.4,5.62832687072265e-32
30.5,5.62764856060669e-32
30.6,5.62697027176248e-32
30.7,5.62629200424606e-32
30.8,5.62561375811351e-32
30.9,5.624935533421e-32
31,5.62425733022475e-32
31.1,5.62357914858105e-32
31.2,5.62290098854626e-32
31.3,5.6222228501768e-32
31.4,5.62154473352916e-32
31.5,5.62086663865987e-32
31.6,5.62018856562558e-32
31.7,5.61951051448294e-32
31.8,5.61883248528871e-32
31.9,5.61815447809971e-32
32,5.61747649297281e-32
32.1,5.61679852996495e-32
32.2,5.61612058913314e-32
32.3,5.61544267053447e-32
32.4,5.61476477422607e-32
32.5,5.61408690026514e-32
32.6,5.61340904870897e-32
32.7,5.61273121961488e-32
32.8,5.6120534130403e-32
32.9,5.61137562904268e-32
33,5.61069786767957e-32
33.1,5.61002012900857e-32
33.2,5.60934241308735e-32
33.3,5.60866471997366e-32
33.4,5.60798704972529e-32
33.5,5.60730940240012e-32
33.6,5.60663177805609e-32
33.7,5.60595417675119e-32
33.8,5.60527659854351e-32
33.9,5.60459904349118e-32
34,5.60392151165241e-32
34.1,5.60324400308547e-32
34.2,5.6025665178487e-32
34.3,5.60188905600051e-32
34.4,5.60121161759938e-32
34.5,5.60053420270385e-32
34.6,5.59985681137253e-32
34.7,5.59917944366409e-32
34.8,5.59850209963729e-32
34.9,5.59782477935094e-32
35,5.59714748286392e-32
35.1,5.59647021023518e-32
35.2,5.59579296152374e-32
35.3,5.59511573678868e-32
35.4,5.59443853608916e-32
35.5,5.5937613594844e-32
35.6,5.59308420703369e-32
35.7,5.5924070787964e-32
35.8,5.59172997483195e-32
35.9,5.59105289519983e-32
36,5.59037583995962e-32
36.1,5.58969880917094e-32
36.2,5.5890218028935e-32
36.3,5.58834482118708e-32
36.4,5.5876678641115e-32
36.5,5.58699093172669e-32
36.6,5.58631402409262e-32
36.7,5.58563714126934e-32
36.8,5.58496028331697e-32
36.9,5.5842834502957e-32
37,5.58360664226578e-32
37.1,5.58292985928754e-32
37.2,5.58225310142137e-32
37.3,5.58157636872774e-32
37.4,5.58089966126719e-32
37.5,5.58022297910032e-32
37.6,5.57954632228781e-32
37.7,5.57886969089041e-32
37.8,5.57819308496892e-32
37.9,5.57751650458424e-32
38,5.57683994979732e-32
38.1,5.57616342066919e-32
38.2,5.57548691726095e-32
38.3,5.57481043963375e-32
38.4,5.57413398784885e-32
38.5,5.57345756196755e-32
38.6,5.57278116205124e-32
38.7,5.57210478816135e-32
38.8,5.57142844035942e-32
38.9,5.57075211870703e-32
39,5.57007582326585e-32
39.1,5.56939955409762e-32
39.2,5.56872331126414e-32
39.3,5.56804709482729e-32
39.4,5.56737090484903e-32
39.5,5.56669474139136e-32
39.6,5.56601860451638e-32
39.7,5.56534249428626e-32
39.8,5.56466641076323e-32
39.9,5.56399035400961e-32
40,5.56331432408776e-32
40.1,5.56263832106015e-32
40.2,5.56196234498929e-32
40.3,5.56128639593779e-32
40.4,5.56061047396831e-32
40.5,5.55993457914359e-32
40.6,5.55925871152645e-32
40.7,5.55858287117977e-32
40.8,5.55790705816651e-32
40.9,5.5572312725497e-32
41,5.55655551439244e-32
41.1,5.55587978375792e-32
41.2,5.55520408070939e-32
41.3,5.55452840531015e-32
41.4,5.55385275762363e-32
41.5,5.55317713771327e-32
41.6,5.55250154564262e-32
41.7,5.55182598147531e-32
41.8,5.55115044527502e-32
41.9,5.55047493710551e-32
42,5.54979945703062e-32
42.1,5.54912400511426e-32
42.2,5.54844858142042e-32
42.3,5.54777318601315e-32
42.4,5.54709781895659e-32
42.5,5.54642248031493e-32
42.6,5.54574717015247e-32
42.7,5.54507188853356e-32
42.8,5.54439663552263e-32
42.9,5.54372141118417e-32
43,5.54304621558278e-32
43.1,5.54237104878309e-32
43.2,5.54169591084985e-32
43.3,5.54102080184784e-32
43.4,5.54034572184196e-32
43.5,5.53967067089714e-32
43.6,5.53899564907842e-32
43.7,5.5383206564509e-32
43.8,5.53764569307976e-32
43.9,5.53697075903024e-32
44,5.53629585436769e-32
44.1,5.53562097915749e-32
44.2,5.53494613346514e-32
44.3,5.53427131735618e-32
44.4,5.53359653089624e-32
44.5,5.53292177415104e-32
44.6,5.53224704718635e-32
44.7,5.53157235006804e-32
44.8,5.53089768286203e-32
44.9,5.53022304563434e-32
45,5.52954843845106e-32
45.1,5.52887386137834e-32
45.2,5.52819931448243e-32
45.3,5.52752479782964e-32
45.4,5.52685031148637e-32
45.5,5.52617585551909e-32
45.6,5.52550142999434e-32
45.7,5.52482703497874e-32
45.8,5.52415267053901e-32
45.9,5.5234783367419e-32
46,5.52280403365429e-32
46.1,5.52212976134309e-32
46.2,5.52145551987532e-32
46.3,5.52078130931807e-32
46.4,5.5201071297385e-32
46.5,5.51943298120385e-32
46.6,5.51875886378144e-32
46.7,5.51808477753867e-32
46.8,5.51741072254301e-32
46.9,5.51673669886202e-32
47,5.51606270656333e-32
47.1,5.51538874571464e-32
47.2,5.51471481638375e-32
47.3,5.51404091863852e-32
47.4,5.5133670525469e-32
47.5,5.51269321817691e-32
47.6,5.51201941559664e-32
47.7,5.51134564487429e-32
47.8,5.5106719060781e-32
47.9,5.50999819927643e-32
48,5.50932452453767e-32
48.1,5.50865088193034e-32
48.2,5.50797727152301e-32
48.3,5.50730369338432e-32
48.4,5.50663014758302e-32
48.5,5.50595663418793e-32
48.6,5.50528315326792e-32
48.7,5.50460970489197e-32
48.8,5.50393628912914e-32
48.9,5.50326290604856e-32
49,5.50258955571944e-32
49.1,5.50191623821107e-32
49.2,5.50124295359283e-32
49.3,5.50056970193417e-32
49.4,5.49989648330461e-32
49.5,5.49922329777378e-32
49.6,5.49855014541137e-32
49.7,5.49787702628715e-32
49.8,5.49720394047097e-32
49.9,5.49653088803278e-32
50,5.49585786904259e-32
50.1,5.49518488357049e-32
50.2,5.49451193168667e-32
50.3,5.49383901346138e-32
50.4,5.49316612896497e-32
50.5,5.49249327826785e-32
50.6,5.49182046144054e-32
50.7,5.49114767855361e-32
50.8,5.49047492967774e-32
50.9,5.48980221488368e-32
51,5.48912953424224e-32
51.1,5.48845688782435e-32
51.2,5.487784275701e-32
51.3,5.48711169794327e-32
51.4,5.48643915462232e-32
51.5,5.48576664580938e-32
51.6,5.48509417157578e-32
51.7,5.48442173199293e-32
